,budget,company,genre,gross,name,score,votes,year
0,8000000.0,Columbia Pictures Corporation,Adventure,52287414.0,Stand by Me,8.1,299174,1986
1,6000000.0,Paramount Pictures,Comedy,70136369.0,Ferris Bueller's Day Off,7.8,264740,1986
2,15000000.0,Paramount Pictures,Action,179800601.0,Top Gun,6.9,236909,1986
3,18500000.0,Twentieth Century Fox Film Corporation,Action,85160248.0,Aliens,8.4,540152,1986
4,9000000.0,Walt Disney Pictures,Adventure,18564613.0,Flight of the Navigator,6.9,36636,1986
5,6000000.0,Hemdale,Drama,138530565.0,Platoon,8.1,317585,1986
6,25000000.0,Henson Associates (HA),Adventure,12729917.0,Labyrinth,7.4,102879,1986
7,6000000.0,De Laurentiis Entertainment Group (DEG),Drama,8551228.0,Blue Velvet,7.8,146768,1986
8,9000000.0,Paramount Pictures,Comedy,40471663.0,Pretty in Pink,6.8,60565,1986
9,15000000.0,SLM Production Group,Drama,40456565.0,The Fly,7.5,129698,1986
10,8800000.0,Rimfire Films,Adventure,174635000.0,Crocodile Dundee,6.5,79465,1986
11,16000000.0,Thorn EMI Screen Entertainment,Action,5900000.0,Highlander,7.2,104860,1986
12,6000000.0,Twentieth Century Fox Film Corporation,Comedy,8200000.0,Lucas,6.8,12228,1986
13,25000000.0,Twentieth Century Fox Film Corporation,Action,11100000.0,Big Trouble in Little China,7.3,101678,1986
14,15000000.0,De Laurentiis Entertainment Group (DEG),Crime,8620929.0,Manhunter,7.2,54000,1986
15,17000000.0,Producers Sales Organization (PSO),Drama,6734844.0,9½ Weeks,5.9,31798,1986
16,10000000.0,De Laurentiis Entertainment Group (DEG),Action,7433663.0,Maximum Overdrive,5.4,24881,1986
17,25000000.0,"Geffen Company, The",Comedy,38747385.0,Little Shop of Horrors,6.9,53327,1986
18,2700000.0,New Century Entertainment Corporation,Action,3500000.0,The Wraith,5.9,11635,1986
19,35000000.0,Universal Pictures,Action,16295774.0,Howard the Duck,4.6,36020,1986
20,2000000.0,New Line Cinema,Action,13167232.0,Critters,6.0,25517,1986
21,11000000.0,Orion Pictures,Comedy,91258000.0,Back to School,6.6,23120,1986
22,4700000.0,Cannon Films,Comedy,8025872.0,The Texas Chainsaw Massacre 2,5.6,21253,1986
23,15000000.0,Jay Weston Productions,Action,42724017.0,Heartbreak Ridge,6.8,32954,1986
24,25000000.0,Paramount Pictures,Adventure,109713132.0,Star Trek IV: The Voyage Home,7.3,66366,1986
25,0.0,TriStar Pictures,Comedy,40697761.0,Short Circuit,6.6,47068,1986
26,0.0,Neue Constantin Film,Crime,7153487.0,The Name of the Rose,7.8,86991,1986
27,0.0,TriStar Pictures,Action,24159872.0,Iron Eagle,5.3,11304,1986
28,25000000.0,Paramount Pictures,Action,79817937.0,The Golden Child,5.9,42997,1986
29,1900000.0,Hemdale,Crime,4600000.0,River's Edge,7.1,12862,1986
30,25000000.0,L.A. Films,Comedy,39246734.0,¡Three Amigos!,6.4,57406,1986
31,25000000.0,Warner Bros.,Action,49042224.0,Cobra,5.7,54851,1986
32,0.0,Gaumont,Drama,2003822.0,Betty Blue,7.4,14562,1986
33,24500000.0,Warner Bros.,Adventure,17218023.0,The Mission,7.5,47497,1986
34,13800000.0,Touchstone Pictures,Drama,52293982.0,The Color of Money,7.0,62495,1986
35,0.0,Columbia Pictures Corporation,Action,115103979.0,The Karate Kid Part II,5.9,58370,1986
36,0.0,Lorimar Productions,Drama,7177431.0,The Boy Who Could Fly,6.5,4623,1986
37,6000000.0,HBO Films,Thriller,5844868.0,The Hitcher,7.3,36191,1986
38,10000000.0,Amblin Entertainment,Comedy,37499651.0,The Money Pit,6.3,41278,1986
39,3000000.0,Paramount Pictures,Horror,19472057.0,Jason Lives: Friday the 13th Part VI,5.9,28310,1986
40,25000000.0,The Saul Zaentz Company,Adventure,14302779.0,The Mosquito Coast,6.6,23076,1986
