;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4
0;8000000;Columbia Pictures Corporation;Adventure;52287414;Stand by Me;8,1;299174;1986;;;;
1;6000000;Paramount Pictures;Comedy;70136369;Ferris Bueller's Day Off;7,8;264740;1986;;;;
2;15000000;Paramount Pictures;Action;179800601;Top Gun;6,9;236909;1986;;;;
3;18500000;Twentieth Century Fox Film Corporation;Action;85160248;Aliens;8,4;540152;1986;;;;
4;9000000;Walt Disney Pictures;Adventure;18564613;Flight of the Navigator;6,9;36636;1986;;;;
5;6000000;Hemdale;Drama;138530565;Platoon;8,1;317585;1986;;;;
6;25000000;Henson Associates (HA);Adventure;12729917;Labyrinth;7,4;102879;1986;;;;
7;6000000;De Laurentiis Entertainment Group (DEG);Drama;8551228;Blue Velvet;7,8;146768;1986;;;;
8;9000000;Paramount Pictures;Comedy;40471663;Pretty in Pink;6,8;60565;1986;;;;
9;15000000;SLM Production Group;Drama;40456565;The Fly;7,5;129698;1986;;;;
10;8800000;Rimfire Films;Adventure;174635000;Crocodile Dundee;6,5;79465;1986;;;;
11;16000000;Thorn EMI Screen Entertainment;Action;5900000;Highlander;7,2;104860;1986;;;;
12;6000000;Twentieth Century Fox Film Corporation;Comedy;8200000;Lucas;6,8;12228;1986;;;;
13;25000000;Twentieth Century Fox Film Corporation;Action;11100000;Big Trouble in Little China;7,3;101678;1986;;;;
14;15000000;De Laurentiis Entertainment Group (DEG);Crime;8620929;Manhunter;7,2;54000;1986;;;;
15;17000000;Producers Sales Organization (PSO);Drama;6734844;9½ Weeks;5,9;31798;1986;;;;
16;10000000;De Laurentiis Entertainment Group (DEG);Action;7433663;Maximum Overdrive;5,4;24881;1986;;;;
17;25000000;Geffen Company, The;Comedy;38747385;Little Shop of Horrors;6,9;53327;1986;;;;
18;2700000;New Century Entertainment Corporation;Action;3500000;The Wraith;5,9;11635;1986;;;;
19;35000000;Universal Pictures;Action;16295774;Howard the Duck;4,6;36020;1986;;;;
20;2000000;New Line Cinema;Action;13167232;Critters;6;25517;1986;;;;
21;11000000;Orion Pictures;Comedy;91258000;Back to School;6,6;23120;1986;;;;
22;4700000;Cannon Films;Comedy;8025872;The Texas Chainsaw Massacre 2;5,6;21253;1986;;;;
23;15000000;Jay Weston Productions;Action;42724017;Heartbreak Ridge;6,8;32954;1986;;;;
24;25000000;Paramount Pictures;Adventure;109713132;Star Trek IV: The Voyage Home;7,3;66366;1986;;;;
25;0;TriStar Pictures;Comedy;40697761;Short Circuit;6,6;47068;1986;;;;
26;0;Neue Constantin Film;Crime;7153487;The Name of the Rose;7,8;86991;1986;;;;
27;0;TriStar Pictures;Action;24159872;Iron Eagle;5,3;11304;1986;;;;
28;25000000;Paramount Pictures;Action;79817937;The Golden Child;5,9;42997;1986;;;;
29;1900000;Hemdale;Crime;4600000;River's Edge;7,1;12862;1986;;;;
30;25000000;L.A. Films;Comedy;39246734;¡Three Amigos!;6,4;57406;1986;;;;
31;25000000;Warner Bros.;Action;49042224;Cobra;5,7;54851;1986;;;;
32;0;Gaumont;Drama;2003822;Betty Blue;7,4;14562;1986;;;;
33;24500000;Warner Bros.;Adventure;17218023;The Mission;7,5;47497;1986;;;;
34;13800000;Touchstone Pictures;Drama;52293982;The Color of Money;7;62495;1986;;;;
35;0;Columbia Pictures Corporation;Action;115103979;The Karate Kid Part II;5,9;58370;1986;;;;
36;0;Lorimar Productions;Drama;7177431;The Boy Who Could Fly;6,5;4623;1986;;;;
37;6000000;HBO Films;Thriller;5844868;The Hitcher;7,3;36191;1986;;;;
38;10000000;Amblin Entertainment;Comedy;37499651;The Money Pit;6,3;41278;1986;;;;
39;3000000;Paramount Pictures;Horror;19472057;Jason Lives: Friday the 13th Part VI;5,9;28310;1986;;;;
40;25000000;The Saul Zaentz Company;Adventure;14302779;The Mosquito Coast;6,6;23076;1986;;;;
41;0;Universal Pictures;Animation;47483002;An American Tail;6,9;41004;1986;;;;
42;4000000;Initial Pictures;Biography;2826523;Sid and Nancy;7,1;25032;1986;;;;
43;10000000;De Laurentiis Entertainment Group (DEG);Action;4711220;King Kong Lives;3,8;4401;1986;;;;
44;4500000;Empire Pictures;Horror;1261000;From Beyond;6,7;16636;1986;;;;
45;18000000;TriStar Pictures;Comedy;41382841;Peggy Sue Got Married;6,3;28529;1986;;;;
46;19000000;Freddie Fields Productions;Horror;40996665;Poltergeist II: The Other Side;5,7;20669;1986;;;;
47;1100000;Empire Pictures;Comedy;5450815;Troll;4,3;7569;1986;;;;
48;0;Metro-Goldwyn-Mayer (MGM);Action;38500726;Running Scared;6,5;9344;1986;;;;
49;0;Hawn / Sylbert Movie Company;Comedy;26285544;Wildcats;5,9;10239;1986;;;;
50;111000;Maljack Productions;Biography;609939;Henry: Portrait of a Serial Killer;7;25367;1986;;;;
51;18000000;ABC Motion Pictures;Adventure;9697739;SpaceCamp;5,6;11484;1986;;;;
52;6400000;Orion Pictures;Comedy;40084041;Hannah and Her Sisters;8;56988;1986;;;;
53;14000000;Walt Disney Pictures;Animation;38600000;The Great Mouse Detective;7,2;36539;1986;;;;
54;8500000;De Laurentiis Entertainment Group (DEG);Action;16209459;Raw Deal;5,5;24851;1986;;;;
55;6000000;Sunbow Productions;Animation;5849647;The Transformers: The Movie;7,3;33609;1986;;;;
56;0;TaliaFilm II Productions;Drama;2015882;Rad;7,2;4039;1986;;;;
57;5000000;TriStar Pictures;Comedy;591366;Night of the Creeps;6,8;16077;1986;;;;
58;12000000;Cannon Pictures;Horror;4884663;Invaders from Mars;5,5;5878;1986;;;;
59;0;Columbia Pictures Corporation;Drama;5839031;Crossroads;7,1;11415;1986;;;;
60;6000000;De Haven Productions;Drama;28607524;Hoosiers;7,6;36604;1986;;;;
61;0;Svenska Filminstitutet (SFI);Drama;300653;Sacrifice;8,1;16571;1986;;;;
62;6500000;Cinema '85;Crime;2347000;At Close Range;7;11607;1986;;;;
63;0;Blueline Productions;Drama;15448384;Youngblood;6,1;10412;1986;;;;
64;0;Seasonal Film Corporation;Action;4662137;No Retreat, No Surrender;5,6;12803;1986;;;;
65;0;Universal Pictures;Horror;14481606;Psicosis III;5,3;10022;1986;;;;
66;20000000;Paramount Pictures;Comedy;25314289;Heartburn;6,1;7570;1986;;;;
67;15000000;Warner Bros.;Adventure;1953732;The Clan of the Cave Bear;5,3;5340;1986;;;;
68;12000000;Golan-Globus Productions;Action;17768900;The Delta Force;5,6;15819;1986;;;;
69;0;Warner Bros.;Drama;8988731;Deadly Friend;5,5;5419;1986;;;;
70;0;TriStar Pictures;Comedy;38702310;About Last Night...;6,2;12307;1986;;;;
71;0;Balcor Film Investors;Comedy;27820000;Soul Man;5,2;6440;1986;;;;
73;0;De Laurentiis Entertainment Group (DEG);Comedy;6797218;Trick or Treat;5,8;4585;1986;;;;
74;18000000;Paramount Pictures;Comedy;36611610;Gung Ho;6,2;9965;1986;;;;
75;0;American Filmworks;Crime;25147055;The Morning After;6;4943;1986;;;;
76;0;Police Academy Productions;Comedy;43579163;Police Academy 3: Back in Training;5,2;35443;1986;;;;
77;175000;40 Acres & A Mule Filmworks;Comedy;7137502;She's Gotta Have It;6,6;5257;1986;;;;
78;0;Touchstone Pictures;Comedy;71624879;Ruthless People;6,9;22554;1986;;;;
79;8700000;Delphi V Productions;Action;4865912;Band of the Hand;6,3;2297;1986;;;;
80;0;Cannon Group;Crime;5186646;52 Pick-Up;6,4;3866;1986;;;;
81;0;Paramount Pictures;Drama;31853080;Children of a Lesser God;7,2;12538;1986;;;;
82;12000000;Columbia Pictures Corporation;Action;15945534;Armed and Dangerous;5,6;9040;1986;;;;
83;1100000;Black Snake;Comedy;1436000;Down by Law;7,8;39456;1986;;;;
84;10000000;Orion Pictures;Action;20603715;F/X;6,7;14502;1986;;;;
85;0;Fuji Television Network;Adventure;13245219;The Adventures of Milo and Otis;7,1;9178;1986;;;;
86;0;Religioso Primitiva;Comedy;8362969;Something Wild;6,9;13186;1986;;;;
87;18000000;Gladden Entertainment;Sci-Fi;3900000;The Manhattan Project;6,1;4666;1986;;;;
88;5000000;Paramount Pictures;Horror;12947763;April Fool's Day;6,2;11458;1986;;;;
89;25000000;Brooksfilms;Action;1579260;Solarbabies;4,8;3397;1986;;;;
90;0;Kings Road Entertainment;Comedy;17685307;The Big Easy;6,6;10022;1986;;;;
91;0;Lawrence Gordon Productions;Comedy;25587804;Jumpin' Jack Flash;5,8;15703;1986;;;;
