,budget,company,genre,gross,name,score,votes,year,Animation_1,Animation_2,Animation_3,Animation_4,Franchise
1988,30000000.0,Pixar Animation Studios,Animation,191796233.0,Toy Story,"8,3",694113.0,1995.0,x,,,,Toy Story
2881,90000000.0,Pixar Animation Studios,Animation,245852179.0,Toy Story 2,"7,9",420432.0,1999.0,,x,,,Toy Story
3314,60000000.0,DreamWorks Animation,Animation,267665011.0,Shrek,"7,9",506495.0,2001.0,x,,,,Shrek
3556,59000000.0,Twentieth Century Fox Film Corporation,Animation,176387405.0,Ice Age,"7,6",357258.0,2002.0,,,,,Ice Age
4001,150000000.0,DreamWorks,Animation,436471036.0,Shrek 2,"7,2",342666.0,2004.0,,x,,,Shrek
4224,75000000.0,DreamWorks Animation,Animation,193595521.0,Madagascar,"6,9",294387.0,2005.0,x,,,,Madagascar
4411,120000000.0,Pixar Animation Studios,Animation,244082982.0,Cars,"7,1",292006.0,2006.0,x,,,,Cars
4476,100000000.0,Warner Bros.,Animation,198000317.0,Happy Feet,"6,5",144200.0,2006.0,x,,,,Happy Feet
4525,80000000.0,Twentieth Century Fox Animation,Animation,195330621.0,Ice Age: The Meltdown,"6,9",211943.0,2006.0,x,,,,Ice Age
4670,160000000.0,DreamWorks Animation,Animation,320706665.0,Shrek the Third,"6,1",230142.0,2007.0,,,x,,Shrek
4712,60000000.0,Fox 2000 Pictures,Animation,217326974.0,Alvin and the Chipmunks,"5,2",62132.0,2007.0,x,,,,Alvin and the Chipmunks
4878,130000000.0,DreamWorks Animation,Animation,215434591.0,Kung Fu Panda,"7,6",339024.0,2008.0,x,,,,Kung Fu Panda
4937,150000000.0,DreamWorks Animation,Animation,180010950.0,Madagascar: Escape 2 Africa,"6,7",162026.0,2008.0,,x,,,Madagascar
5150,100000000.0,Columbia Pictures,Animation,124870275.0,Cloudy with a Chance of Meatballs,7,167156.0,2009.0,x,,,,Cloudy with a Chance of Meatballs
5185,90000000.0,Twentieth Century Fox Animation,Animation,196573705.0,Ice Age: Dawn of the Dinosaurs,7,182575.0,2009.0,,x,,,Ice Age
5188,75000000.0,Fox 2000 Pictures,Animation,219614612.0,Alvin and the Chipmunks: The Squeakquel,"4,5",34731.0,2009.0,,x,,,Alvin and the Chipmunks
5291,69000000.0,Universal Pictures,Animation,251513985.0,Despicable Me,"7,7",422190.0,2010.0,x,,,,Despicable Me
5309,200000000.0,Walt Disney Pictures,Animation,415004880.0,Toy Story 3,"8,3",603472.0,2010.0,,,x,,Toy Story
5312,165000000.0,DreamWorks Animation,Animation,217581231.0,How to Train Your Dragon,"8,1",538360.0,2010.0,x,,,,How to Train Your Dragon
5354,165000000.0,DreamWorks Animation,Animation,238371987.0,Shrek Forever After,"6,3",150636.0,2010.0,,,,x,Shrek
5570,200000000.0,Walt Disney Pictures,Animation,191452396.0,Cars 2,"6,2",116477.0,2011.0,,x,,,Cars
5587,90000000.0,Twentieth Century Fox Animation,Animation,143619809.0,Rio,"6,9",177152.0,2011.0,x,,,,Rio
5589,110000000.0,Columbia Pictures,Animation,142614158.0,The Smurfs,"5,5",71925.0,2011.0,x,,,,The Smurfs
5597,150000000.0,DreamWorks Animation,Animation,165249063.0,Kung Fu Panda 2,"7,3",203107.0,2011.0,,x,,,Kung Fu Panda
5674,135000000.0,Warner Bros.,Animation,64006466.0,Happy Feet Two,"5,9",34974.0,2011.0,,x,,,Happy Feet
5690,75000000.0,Fox 2000 Pictures,Animation,133110742.0,Alvin and the Chipmunks: Chipwrecked,"4,4",24939.0,2011.0,,,x,,Alvin and the Chipmunks
5766,85000000.0,Columbia Pictures,Animation,148313048.0,Hotel Transylvania,"7,1",180944.0,2012.0,x,,,,Hotel Transylvania
5819,95000000.0,Blue Sky Studios,Animation,161321843.0,Ice Age: Continental Drift,"6,6",158545.0,2012.0,,,x,,Ice Age
5835,145000000.0,DreamWorks Animation,Animation,216391482.0,Madagascar 3: Europe's Most Wanted,"6,9",130435.0,2012.0,,,x,,Madagascar
5987,76000000.0,Universal Pictures,Animation,368061265.0,Despicable Me 2,"7,4",314045.0,2013.0,,x,,,Despicable Me
6062,105000000.0,Columbia Pictures,Animation,71017784.0,The Smurfs 2,"5,4",30631.0,2013.0,,x,,,The Smurfs
6095,78000000.0,Columbia Pictures,Animation,119793567.0,Cloudy with a Chance of Meatballs 2,"6,4",71615.0,2013.0,,x,,,Cloudy with a Chance of Meatballs
6237,145000000.0,DreamWorks Animation,Animation,177002924.0,How to Train Your Dragon 2,"7,8",243596.0,2014.0,,x,,,How to Train Your Dragon
6328,103000000.0,Twentieth Century Fox Animation,Animation,131538435.0,Rio 2,"6,3",64550.0,2014.0,,x,,,Rio
6430,80000000.0,Columbia Pictures,Animation,169700110.0,Hotel Transylvania 2,"6,7",73328.0,2015.0,,x,,,Hotel Transylvania
6521,90000000.0,Fox 2000 Pictures,Animation,85886987.0,Alvin and the Chipmunks: The Road Chip,"5,1",12069.0,2015.0,,,,x,Alvin and the Chipmunks
6730,105000000.0,Blue Sky Studios,Animation,64063008.0,Ice Age: Collision Course,"5,7",38556.0,2016.0,,,,x,Ice Age
6761,145000000.0,China Film Co.,Animation,143528619.0,Kung Fu Panda 3,"7,1",95310.0,2016.0,,,x,,Kung Fu Panda
