;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4;Franchise;Disney_princess
0;30000000.0;Silver Screen Partners IV;Animation;27931461.0;The Rescuers Down Under;6.9;30141.0;1990.0;;;;;;
1;0.0;Disney Television Animation;Animation;18115724.0;DuckTales the Movie: Treasure of the Lost Lamp;6.9;21633.0;1990.0;;;;;;
2;0.0;Hanna-Barbera Productions;Animation;10900000.0;Jetsons: The Movie;5.5;3913.0;1990.0;;;;;;
3;0.0;Lacewood Productions;Animation;1781694.0;El príncipe Cascanueces;6.9;1698.0;1990.0;;;;;;
4;25000000.0;Walt Disney Pictures;Animation;218967620.0;Beauty and the Beast;8;344844.0;1991.0;;;;;;Princess
5;0.0;Universal Pictures;Animation;22166041.0;An American Tail: Fievel Goes West;6.5;18924.0;1991.0;;;;;;
6;18000000.0;Goldcrest Films International;Animation;11657385.0;Amigos inseparables;6;6716.0;1991.0;;;;;;
7;0.0;Nippon Television Network (NTV);Animation;415941.0;Only Yesterday;7.7;16144.0;1991.0;;;;;;
8;0.0;Siriol Productions;Animation;2144238.0;The Princess and the Goblin;6.9;1975.0;1991.0;;;;;;
9;28000000.0;Walt Disney Pictures;Animation;217350219.0;Aladdin;8;287068.0;1992.0;;;;;;Princess
10;24000000.0;FAI Films;Animation;24650296.0;FernGully: Las aventuras de Zak y Crysta;6.5;22480.0;1992.0;;;;;;
11;30000000.0;Paramount Pictures;Animation;14110600.0;Cool World;4.8;17780.0;1992.0;;;;;;
12;3500000.0;Turner Pictures (I);Animation;3560469.0;The Tom and Jerry Movie;5.3;7519.0;1992.0;;;;;;
13;0.0;Hyperion Pictures;Animation;8442162.0;Bébé's Kids;5.5;3387.0;1992.0;;;;;;
14;0.0;Hollywood Road Films;Animation;1119368.0;Freddie as F.R.O.7.;5.1;561.0;1992.0;;;;;;
15;18000000.0;Touchstone Pictures;Animation;75082668.0;The Nightmare Before Christmas;8;242487.0;1993.0;;;;;;
16;6000000.0;Warner Bros. Animation;Animation;5617391.0;Batman: Mask of the Phantasm;7.9;33504.0;1993.0;;;;;;
17;0.0;Universal Pictures;Animation;9315576.0;We're Back! A Dinosaur's Story;6.1;11383.0;1993.0;;;;;;
18;13000000.0;Hanna-Barbera Productions;Animation;6574896.0;Once Upon a Forest;6.5;4131.0;1993.0;;;;;;
19;28000000.0;Richard Williams Productions;Animation;669276.0;The Thief and the Cobbler;7.1;2780.0;1993.0;;;;;;
20;45000000.0;Walt Disney Pictures;Animation;312900000.0;The Lion King;8.5;723070.0;1994.0;;;;;;
21;27000000.0;Twentieth Century Fox Film Corporation;Animation;13670688.0;The Pagemaster;6;17391.0;1994.0;;;;;;
22;20000000.0;Nest Family Entertainment;Animation;9771658.0;The Swan Princess;6.4;18972.0;1994.0;;;;;;
23;28000000.0;Don Bluth;Animation;11373501.0;Pulgarcita;6.4;12483.0;1994.0;;;;;;
24;0.0;Don Bluth;Animation;71368.0;A Troll in Central Park;5.4;4914.0;1994.0;;;;;;
25;55000000.0;Walt Disney Pictures;Animation;141600000.0;Pocahontas;6.7;133708.0;1995.0;;;;;;Princess
26;30000000.0;Pixar Animation Studios;Animation;191796233.0;Toy Story;8.3;694113.0;1995.0;x;;;;Toy Story;
27;0.0;Kôdansha;Animation;515905.0;Ghost in the Shell;8;101716.0;1995.0;;;;;;
28;0.0;Walt Disney Pictures;Animation;35348597.0;A Goofy Movie;6.8;36877.0;1995.0;;;;;;
29;0.0;Amblimation;Animation;11268750.0;Balto;7.1;32984.0;1995.0;;;;;;
30;28000000.0;Metro-Goldwyn-Mayer (MGM);Animation;3983912.0;La piedra y el pingüino;5.6;3607.0;1995.0;;;;;;
31;80000000.0;Warner Bros. Family Entertainment;Animation;90463534.0;Space Jam;6.3;124368.0;1996.0;;;;;;
32;100000000.0;Walt Disney Feature Animation;Animation;100138851.0;The Hunchback of Notre Dame;6.9;113772.0;1996.0;;;;;;
33;38000000.0;Walt Disney Pictures;Animation;28934758.0;James and the Giant Peach;6.7;52633.0;1996.0;;;;;;
34;12000000.0;Paramount Pictures;Animation;63071133.0;Beavis and Butt-Head Do America;6.8;45369.0;1996.0;;;;;;
35;0.0;MGM Family Entertainment;Animation;8620500.0;All Dogs Go to Heaven 2;5.5;4507.0;1996.0;;;;;;
36;85000000.0;Walt Disney Pictures;Animation;99046791.0;Hercules;7.2;159637.0;1997.0;;;;;;Princess
37;0.0;DENTSU Music And Entertainment;Animation;2375308.0;Princess Mononoke;8.4;252409.0;1997.0;;;;;;
38;50000000.0;Twentieth Century Fox Film Corporation;Animation;58406347.0;Anastasia;7.1;94409.0;1997.0;;;;;;
39;0.0;Rex Entertainment;Animation;112536.0;Perfect Blue;7.9;33789.0;1997.0;;;;;;
40;32000000.0;David Kirschner Productions;Animation;3562749.0;Cats Don't Dance;6.9;6006.0;1997.0;;;;;;
41;90000000.0;Walt Disney Feature Animation Florida;Animation;120620254.0;Mulan;7.6;193214.0;1998.0;;;;;;
42;120000000.0;Pixar Animation Studios;Animation;162798565.0;A Bug's Life;7.2;226736.0;1998.0;;;;;;
43;70000000.0;DreamWorks Animation;Animation;101217900.0;The Prince of Egypt;7;98359.0;1998.0;;;;;;
44;105000000.0;DreamWorks;Animation;90757863.0;Antz;6.6;131396.0;1998.0;;;;;;
45;24000000.0;Paramount Pictures;Animation;100494675.0;The Rugrats Movie;5.9;15183.0;1998.0;;;;;;
46;40000000.0;Warner Bros.;Animation;22717758.0;The Magic Sword: Quest for Camelot;6.2;12174.0;1998.0;;;;;;
47;30000000.0;Oriental Light and Magic (OLM);Animation;85744662.0;Pokémon: The First Movie - Mewtwo Strikes Back;6;32118.0;1998.0;;;;;;
48;0.0;Goodtimes Entertainment;Animation;113484.0;Rudolph the Red-Nosed Reindeer;5.8;1851.0;1998.0;;;;;;
49;90000000.0;Pixar Animation Studios;Animation;245852179.0;Toy Story 2;7.9;420432.0;1999.0;;x;;;Toy Story;
